X,Y,vlm,uv,heat,Salinity,SST,SLP,SP,X_orig,Y_orig,Target_Samples
0.3983115431549989,0.5832832167355003,0.81559294471015,0.599309535777151,0.2536133351746473,0.762177828427735,0.5991700470260978,0.4170088931521038,0.5584272933441804,-74.01,40.7,15.971671629631198
0.5541735712842504,0.5647779376160098,0.4280783436610602,0.5785752048689571,0.0050991469181189,0.6169514823923146,0.9165557148047094,0.5646402592337604,0.2516414828923343,-74.01,40.7,31.633600680509847
0.5289343943159702,0.3613544230547952,0.5846998799314002,0.1638851585412481,0.962641426852774,0.8889252514769769,0.0706000184645415,0.4162393188247528,0.3125529845646242,-74.01,40.7,14.429765273249911
0.5985745469242596,0.4129802829534011,0.7275303022599529,0.1756794148717147,0.8831125503565582,0.6358428990273104,0.7127386420802899,0.54017545990186,0.4165420420244641,-74.01,40.7,25.479702919459733
0.5051095284120053,0.4225245900267412,0.4920842894760978,0.6632161683189013,0.7736342496168802,0.6542713937649488,0.3350389823624286,0.6315770447864504,0.1645087946991281,-74.01,40.7,24.040189087009185
0.4670942933375681,0.3173552109849571,0.604395366090201,0.4938520694503279,0.034909681092102,0.5574612958884314,0.1164180472771604,0.6350073703116089,0.5074663154493253,-74.01,40.7,17.33491897817033
0.3281100798901661,0.4698456442905067,0.8451419031051807,0.0558473216144125,0.2720915517817873,0.8646330069394754,0.8140998199110379,0.6704096370431929,0.3147172350322765,-74.01,40.7,20.117640701390485
0.4658347150151464,0.4081369774782054,0.5721765765314453,0.4487780299217748,0.4574058979779354,0.746411246925665,0.9926968029937724,0.0006181616416468,0.4075374399070377,-74.01,40.7,17.483048825486602
0.5662905994666683,0.2362089391405071,0.279421124970089,0.2380832107843278,0.8518630482086086,0.7800581706631181,0.5346753921657132,0.426460072059408,0.3866984957974849,-74.01,40.7,23.49616933707281
0.5284603282101534,0.7349617221899091,0.4607453763616676,0.2717367277773461,0.0651142143582679,0.8628285917491287,0.0269580744872395,0.1137170560513043,0.517279878577661,-74.01,40.7,15.13764585760278
0.7554603692582054,0.6291432716867832,0.4056472907556378,0.2410794394641276,0.8895015740005752,0.7296826530840625,0.9445994769938588,0.3815549526480018,0.5811583687400799,-74.01,40.7,21.446449616065337
0.5704455344733188,0.6035402282611683,0.8476366806479995,0.7201389076480782,0.0009929609890867,0.7381042463494518,0.4694778222486081,0.280264644918923,0.3562993663277851,-74.01,40.7,24.41244784487744
0.6543121456642101,0.626371938173574,0.5447180250677084,0.1916299068457757,0.9709598215541594,0.2911435923486445,0.8319249934658953,0.333496873845177,0.41887312565788,-74.01,40.7,11.855707805034143
0.3470836087199727,0.4576920121001863,0.6254542911544793,0.1184115202736447,0.1221447708870739,0.3524172184090169,0.1033127318792121,0.3920584974998627,0.5816954797029477,-74.01,40.7,19.40906961724242
0.5017104098879973,0.6078692851359496,0.381388355444987,0.2454449792885447,0.7539984914347994,0.9291318400194206,0.3623076952134996,0.3346262063058828,0.5688208305590535,-74.01,40.7,14.442884509143408
0.682364528052018,0.6111056115435639,0.3702330503392314,0.8633748087938361,0.1168454663760795,0.7461039088089998,0.1762628146293119,0.4468832317722246,0.5247289730524004,-74.01,40.7,15.339677632733114
0.4089559956399296,0.6906140444682918,0.7285990270146696,0.163537509168479,0.0670617978622392,0.644158968684385,0.0,0.3534155381694119,0.5431968741197789,-74.01,40.7,18.0530876642013
0.3515138372551668,0.5354626149094115,0.576271207446863,0.5354766421324144,0.0673402680808596,0.5664702323877132,0.4312367082686114,0.0289680813669498,0.2305797727793708,-74.01,40.7,10.350118385977478
0.6582815127106229,0.5840621403709471,0.4107365853799824,0.2865421147062591,0.0453203874067854,0.4053062958371301,0.8527669257473469,0.7695479919550342,0.3343091860764008,-74.01,40.7,19.899596699915318
0.5104238189426837,0.6674043132515848,0.4556584419353855,0.5296057460392581,0.2826889408784967,0.7104595989379925,0.88112672962343,0.5885270429382372,0.4816498107000393,-74.01,40.7,19.42297706730575
0.7917226541891637,0.6064666825717818,0.6715041040483793,0.2680731455871592,0.7284473846625773,0.7671500935301263,0.6496799799439135,0.4307149593684817,0.0780513652169773,-74.01,40.7,14.40280439408028
0.5610401581702006,0.1312980301677646,0.7494435893206732,0.0617836830777042,0.2223304810413783,0.444646503803238,0.5916484870965147,0.4411496065029353,0.2627106847393093,-74.01,40.7,13.299925713511731
